Date,Time,Open,High,Low,Close,Volume,Open Interest
20160930,151000,8603.4,8604.15,8601.45,8603.5,139397,0
20160930,151100,8603.65,8606.75,8603.65,8605.2,1960823,0
20160930,151200,8605.3,8607.05,8603.95,8606.5,1058787,0
20160930,151300,8606.65,8607.7,8605.3,8605.5,910214,0
20160930,151400,8605.65,8608.05,8604.55,8607.65,100145,0
20160930,151500,8607.65,8608.45,8606.55,8607.9,2552552,0
20160930,151600,8608.75,8611.35,8607.4,8609.35,1732175,0
20160930,151700,8608.95,8612.85,8608.75,8612.55,1015540,0
20160930,151800,8611.75,8614.55,8611.75,8614.1,1007997,0
20160930,151900,8614.15,8615.2,8612.45,8612.45,975508,0
20160930,152000,8612.75,8614.45,8612.5,8614.45,1165492,0
20160930,152100,8614.1,8615.65,8613.3,8614.2,1122938,0
20160930,152200,8614,8617.2,8614,8616.2,1075389,0
20160930,152300,8616.2,8617.4,8615.35,8615.85,75975,0
20160930,152400,8615.6,8618.3,8615.35,8617.75,1390645,0
20160930,152500,8618,8619.85,8617.65,8618.85,1126224,0
20160930,152600,8618.45,8618.95,8617.25,8617.25,1058683,0
20160930,152700,8617.2,8618.5,8616.85,8617.5,1202699,0
20160930,152800,8617.4,8618.4,8615.6,8616.65,1622647,0
20160930,152900,8615.3,8622.75,8615.3,8620.95,561221,0
20160930,153000,8621.15,8621.15,8621.15,8621.15,0,0
20161003,090700,8666.15,8666.15,8666.15,8666.15,0,0
20161003,090800,8666.15,8666.15,8666.15,8666.15,0,0
20161003,090900,8666.15,8666.15,8666.15,8666.15,0,0
20161003,091000,8666.15,8666.15,8666.15,8666.15,0,0
20161003,091100,8666.15,8666.15,8666.15,8666.15,0,0
20161003,091200,8666.15,8666.15,8666.15,8666.15,0,0
20161003,091300,8666.15,8666.15,8666.15,8666.15,0,0
20161003,091400,8666.15,8666.15,8666.15,8666.15,0,0
20161003,091500,8666.15,8672,8658.1,8660.9,2019246,0
20161003,091600,8660.9,8668.05,8660.9,8664.45,1140131,0
20161003,091700,8664.15,8664.15,8657,8657.35,930816,0
20161003,091800,8657.45,8658.6,8652.1,8652.8,766180,0
20161003,091900,8653.45,8656.65,8651.3,8656.25,682680,0
20161003,092000,8657.1,8659.85,8656.25,8658,462774,0
20161003,092100,8657.45,8657.45,8652.05,8652.05,575976,0
20161003,092200,8651.55,8651.85,8637.65,8637.65,695518,0
20161003,092300,8637.5,8645.2,8635,8644.85,741415,0
20161003,092400,8644.7,8645.65,8642.3,8642.5,449145,0
20161003,092500,8642.3,8643.4,8639.4,8643.3,542320,0
20161003,092600,8643.6,8651.7,8643.6,8648.6,480748,0
20161003,092700,8648.95,8654.55,8648.85,8654.55,475554,0
20161003,092800,8654.75,8655.95,8650.9,8654.6,588440,0
20161003,092900,8654.7,8656.15,8649.3,8651.8,602966,0
20161003,093000,8651.95,8652.15,8647.85,8647.85,536240,0
20161003,093100,8647.2,8657.6,8645.7,8657.6,480680,0
20161003,093200,8657.95,8665.65,8657.95,8665.45,737796,0
20161003,093300,8665.7,8679.1,8665.6,8678.7,0,0
20161003,093400,8680.6,8692.1,8680.6,8681.75,1998486,0
20161003,093500,8682.15,8691.4,8682.15,8691.2,682309,0
20161003,093600,8692.25,8692.4,8681.3,8687.4,568886,0
20161003,093700,8688.1,8690.4,8680.8,8681.7,524747,0
20161003,093800,8681.45,8687.5,8681.45,8684.7,485962,0
20161003,093900,8684.9,8690.6,8684.25,8690.4,382414,0
20161003,094000,8690.95,8696,8690.35,8695.2,0,0
20161003,094100,8695.1,8697.7,8692.4,8692.7,0,0
20161003,094200,8692.55,8693.15,8688.7,8689.65,1742894,0
20161003,094300,8689.35,8691.75,8689.05,8691.3,0,0
20161003,094400,8691.4,8693.8,8691.4,8692.1,826426,0
20161003,094500,8691.9,8699.3,8691.7,8698.4,640851,0
20161003,094600,8697.8,8697.8,8693.25,8693.65,555883,0
20161003,094700,8693.35,8697.1,8693.35,8697.1,374596,0
20161003,094800,8696.9,8698.45,8695.75,8697.45,372641,0
20161003,094900,8697.15,8697.7,8694.65,8695.35,383161,0
20161003,095000,8695.6,8701,8695.6,8699.25,554708,0
20161003,095100,8699.3,8701.15,8697.05,8697.1,658290,0
20161003,095200,8697.45,8698,8696,8696.35,439910,0
20161003,095300,8696.35,8696.55,8694.1,8694.7,440344,0
20161003,095400,8694.4,8695.1,8692.2,8692.2,348164,0
20161003,095500,8692.55,8692.9,8689.2,8689.3,93052,0
20161003,095600,8688.5,8689.9,8687.55,8688.2,838265,0
20161003,095700,8688.2,8688.35,8686.2,8686.65,326238,0
20161003,095800,8686.7,8693.35,8686.7,8693.05,176736,0
20161003,095900,8693.45,8693.95,8688.55,8688.7,591692,0
20161003,100000,8688.2,8695.05,8687.75,8691.65,393941,0
20161003,100100,8691.55,8692.75,8687.6,8687.75,340592,0
20161003,100200,8688.2,8690.15,8687.85,8688.5,261832,0
20161003,100300,8689.4,8692.15,8689.4,8690.65,868149,0
20161003,100400,8690.7,8691.7,8689.85,8691.15,76442,0
20161003,100500,8690.8,8691.05,8688.5,8689.9,223935,0
20161003,100600,8689.75,8690.35,8688.85,8690.1,460123,0
20161003,100700,8690.1,8692.6,8689.55,8692.6,298559,0
20161003,100800,8692.7,8693.6,8691.25,8693.35,1056489,0
20161003,100900,8693.5,8696.65,8693.3,8695.85,421364,0
20161003,101000,8694.95,8696.25,8694.85,8695.85,329386,0
20161003,101100,8695.9,8697.35,8695.6,8696.05,331070,0
20161003,101200,8696.2,8697.1,8695.7,8696.6,46352,0
20161003,101300,8696.9,8696.95,8694.9,8695.75,367845,0
20161003,101400,8696.05,8697.15,8695.9,8696.6,217625,0
20161003,101500,8696.6,8697.45,8696.05,8697.45,197546,0
20161003,101600,8697.5,8702.35,8697.5,8702.35,359002,0
20161003,101700,8701.9,8704.1,8701.9,8703.05,346390,0
20161003,101800,8703.35,8705,8703,8704.4,273582,0
20161003,101900,8704.25,8706.8,8704.25,8706.5,253393,0
20161003,102000,8706.3,8713.1,8705.9,8712.45,507926,0
20161003,102100,8712.3,8712.6,8710.45,8712.5,415969,0
20161003,102200,8712.35,8712.9,8711.05,8711.55,385703,0
20161003,102300,8711.45,8711.45,8709.55,8710.7,287952,0
20161003,102400,8710.3,8711.65,8709.05,8709.4,294688,0
20161003,102500,8709.45,8711.55,8709.15,8709.65,333910,0
20161003,102600,8709.3,8710.05,8708.8,8709.4,201300,0
20161003,102700,8709.35,8711.9,8708.8,8711.9,207302,0
20161003,102800,8711.85,8714,8711.5,8712.5,309262,0
20161003,102900,8712.4,8713.55,8712.05,8713.1,173204,0
20161003,103000,8712.95,8714.15,8712.3,8714,256826,0
20161003,103100,8714.15,8715.45,8712.45,8714.2,445822,0
20161003,103200,8714.7,8715.55,8713.85,8715.55,388948,0
20161003,103300,8715,8715.7,8711.45,8711.45,287619,0
20161003,103400,8712.1,8712.55,8710.9,8712,302016,0
20161003,103500,8712.3,8713.55,8711.6,8713,292029,0
20161003,103600,8713.7,8713.95,8709.9,8710,300078,0
20161003,103700,8710.1,8711.55,8710.1,8710.6,194418,0
20161003,103800,8710.4,8710.8,8706.5,8707.35,327738,0
20161003,103900,8707.4,8707.75,8704.95,8705.2,221036,0
20161003,104000,8705.2,8705.95,8703.95,8705.75,243810,0
20161003,104100,8705.85,8709.05,8705.55,8707.8,291144,0
20161003,104200,8707.9,8707.9,8705.25,8705.9,183693,0
20161003,104300,8705.6,8708.55,8705.45,8707.3,189786,0
20161003,104400,8707.85,8709.3,8705.95,8708.8,228055,0
20161003,104500,8708.95,8709.95,8707.5,8708.45,171271,0
20161003,104600,8708.35,8709.95,8707.4,8709.95,184643,0
20161003,104700,8710,8712.75,8708.9,8712.05,234598,0
20161003,104800,8711.85,8713.75,8709.85,8711.1,330463,0
20161003,104900,8711.15,8711.9,8710.45,8711.45,148692,0
20161003,105000,8711.45,8712.3,8710.3,8711.95,196625,0
20161003,105100,8712.4,8714.9,8712.15,8713.25,418572,0
20161003,105200,8713.55,8717.85,8713.55,8716.55,311566,0
20161003,105300,8717.05,8719.2,8716.35,8719.05,239620,0
20161003,105400,8719.05,8723.6,8718.9,8721.2,419328,0
20161003,105500,8720.65,8721.45,8720.15,8720.3,256804,0
20161003,105600,8720.45,8720.45,8717.85,8718.9,249508,0
20161003,105700,8718.9,8722.3,8718.6,8722.1,302439,0
20161003,105800,8722.7,8722.85,8721,8722.55,251788,0
20161003,105900,8722.5,8723.55,8721.25,8721.25,210971,0
20161003,110000,8721,8723.4,8720.25,8720.25,0,0
20161003,110100,8719.7,8722.05,8719.25,8721.65,420172,0
20161003,110200,8721.6,8723.15,8721.45,8722.3,268427,0
20161003,110300,8722.55,8725.65,8722.2,8725.2,201301,0
20161003,110400,8725.25,8725.9,8723.1,8724.25,181069,0
20161003,110500,8724,8727.3,8723.45,8726,225299,0
20161003,110600,8725.45,8725.45,8722.8,8723.35,190601,0
20161003,110700,8723.15,8724.6,8722.95,8724.1,134449,0
20161003,110800,8723.65,8723.95,8722.3,8723.85,338613,0
20161003,110900,8724,8724.3,8720.55,8721.45,330387,0
20161003,111000,8721.3,8723.7,8720.9,8722.35,45569,0
20161003,111100,8722.15,8722.4,8718.9,8719.7,236940,0
20161003,111200,8719.55,8720.75,8719.25,8719.95,389505,0
20161003,111300,8719.5,8721.15,8719.05,8720.65,284073,0
20161003,111400,8720.9,8721.15,8719.1,8719.1,210828,0
20161003,111500,8719.1,8720.25,8718.55,8719.6,185512,0
20161003,111600,8719.75,8719.75,8716.9,8716.95,208960,0
20161003,111700,8716.95,8716.95,8715.75,8715.95,42992,0
20161003,111800,8716.1,8716.1,8714.2,8714.95,173321,0
20161003,111900,8714.6,8715.45,8712.7,8712.7,352623,0
20161003,112000,8712.6,8712.95,8711.4,8711.55,391774,0
20161003,112100,8710.95,8710.95,8708.85,8710,271832,0
20161003,112200,8709.55,8711,8707.65,8710.45,471645,0
20161003,112300,8710.75,8711.8,8709.6,8711.35,329287,0
20161003,112400,8711.9,8712.1,8710.5,8710.85,343369,0
20161003,112500,8710.9,8711.9,8708.7,8709.4,334222,0
20161003,112600,8709.55,8711.4,8708.45,8709.05,212666,0
20161003,112700,8708.9,8708.9,8705.9,8705.95,374647,0
20161003,112800,8705.85,8707.15,8705.7,8706.1,402611,0
20161003,112900,8706.05,8706.05,8703.5,8705.65,401664,0
20161003,113000,8705.7,8706.15,8704.3,8704.4,292471,0
20161003,113100,8704.85,8706.9,8704.4,8706.3,321798,0
20161003,113200,8706.25,8706.35,8702.25,8702.25,416521,0
20161003,113300,8701.85,8702.25,8699.5,8702.25,440840,0
20161003,113400,8701.75,8702.5,8700.4,8700.7,256374,0
20161003,113500,8700.7,8701.65,8698.95,8701,571959,0
20161003,113600,8701.1,8706.9,8700.4,8706.7,203562,0
20161003,113700,8706.5,8707,8705.4,8705.95,205631,0
20161003,113800,8706.05,8706.15,8704.7,8705.9,155041,0
20161003,113900,8705.85,8709.05,8705.05,8709.05,196431,0
20161003,114000,8709.1,8709.3,8707.35,8708,175523,0
20161003,114100,8708.2,8709.15,8707.9,8708.6,175337,0
20161003,114200,8708.65,8709.85,8707.75,8708.05,297345,0
20161003,114300,8708.25,8708.9,8707.65,8708.9,289214,0
20161003,114400,8708.95,8709.5,8707.6,8707.6,333892,0
20161003,114500,8707.3,8708.1,8704.2,8704.2,409992,0
20161003,114600,8703.25,8703.25,8699.7,8700.1,360638,0
20161003,114700,8700.3,8704.65,8700.3,8703.9,355192,0
20161003,114800,8703.9,8705.7,8703.85,8705.25,221833,0
20161003,114900,8705.25,8705.25,8701.7,8703.6,240900,0
20161003,115000,8703.5,8703.55,8702.1,8702.4,45692,0
20161003,115100,8702.45,8705.4,8702,8704.9,261900,0
20161003,115200,8705,8705.7,8704.6,8705.15,221691,0
20161003,115300,8705.2,8707.25,8704.35,8704.7,222151,0
20161003,115400,8704.65,8706.5,8704.5,8705.1,149993,0
20161003,115500,8705.1,8705.75,8704.05,8704.6,194266,0
20161003,115600,8704.65,8707.2,8703.95,8703.95,269778,0
20161003,115700,8703.9,8704.4,8703.1,8703.35,192750,0
20161003,115800,8703.5,8703.9,8702.8,8703.25,187585,0
20161003,115900,8703.55,8703.8,8702.9,8703.35,171513,0
20161003,120000,8703.65,8703.9,8702.1,8702.2,0,0
